max değer:2.1708 aranan değer :-0.8292000000000002
değer:0.57942 fark:1.4086200000000002
değer:0.69169 fark:1.52089
değer:0.79976 fark:1.6289600000000002
değer:0.90364 fark:1.7328400000000002
değer:1.0034 fark:1.8326000000000002
değer:1.0989 fark:1.9281000000000001
değer:1.1904 fark:2.0196
değer:1.2777 fark:2.1069000000000004
değer:1.3609 fark:2.1901
değer:1.44 fark:2.2692
değer:1.515 fark:2.3442
değer:1.5859 fark:2.4151000000000002
değer:1.6527 fark:2.4819000000000004
değer:1.7155 fark:2.5447
değer:1.7742 fark:2.6034
değer:1.8289 fark:2.6581
değer:1.8795 fark:2.7087000000000003
değer:1.926 fark:2.7552000000000003
değer:1.9685 fark:2.7977
değer:2.0069 fark:2.8361
değer:2.0413 fark:2.8705000000000003
değer:2.0716 fark:2.9008000000000003
değer:2.0979 fark:2.9271000000000003
değer:2.1202 fark:2.9494000000000002
değer:2.1384 fark:2.9676
değer:2.1525 fark:2.9817
değer:2.1627 fark:2.9919000000000002
değer:2.1687 fark:2.9979
değer:2.1708 fark:3.0
değer:2.1687 fark:2.9979
değer:2.1627 fark:2.9919000000000002
değer:2.1526 fark:2.9818000000000002
değer:2.1384 fark:2.9676
değer:2.1202 fark:2.9494000000000002
değer:2.098 fark:2.9272
değer:2.0717 fark:2.9009
değer:2.0414 fark:2.8706
değer:2.007 fark:2.8362000000000003
değer:1.9686 fark:2.7978
değer:1.9261 fark:2.7553
değer:1.8796 fark:2.7088
değer:1.829 fark:2.6582
değer:1.7744 fark:2.6036
değer:1.7157 fark:2.5449
değer:1.6529 fark:2.4821
değer:1.5861 fark:2.4153000000000002
değer:1.5152 fark:2.3444000000000003
değer:1.4402 fark:2.2694
değer:1.3611 fark:2.1903
değer:1.2779 fark:2.1071
değer:1.1906 fark:2.0198
değer:1.0992 fark:1.9284000000000001
değer:1.0036 fark:1.8328000000000002
değer:0.90389 fark:1.7330900000000002
değer:0.80002 fark:1.6292200000000001
değer:0.69197 fark:1.5211700000000001
değer:0.5797 fark:1.4089
değer:0.46321 fark:1.2924100000000003
değer:0.34247 fark:1.1716700000000002
değer:0.21744 fark:1.0466400000000002
değer:0.088094 fark:0.9172940000000002
değer:-0.045605 fark:0.7835950000000002
değer:-0.1837 fark:0.6455000000000002
değer:-0.32623 fark:0.5029700000000001
değer:-0.47324 fark:0.35596000000000017
değer:-0.6248 fark:0.20440000000000014
değer:-0.78096 fark:0.04824000000000017
değer:-0.94178 fark:0.11257999999999979
değer:-1.1073 fark:0.2780999999999998
değer:-1.2777 fark:0.4484999999999999
değer:-1.453 fark:0.6237999999999999
değer:-1.6333 fark:0.8040999999999998
değer:-1.8187 fark:0.9894999999999998
değer:-2.0093 fark:1.1801
değer:-2.2053 fark:1.3760999999999997
değer:-2.4068 fark:1.5776
değer:-2.6139 fark:1.7847
değer:-2.8269 fark:1.9977
değer:-3.0458 fark:2.2165999999999997
değer:-3.271 fark:2.4417999999999997
değer:-3.5026 fark:2.6734
değer:-3.7409 fark:2.9116999999999997
değer:-3.9861 fark:3.1569
değer:-4.2387 fark:3.4094999999999995
değer:-4.4988 fark:3.6696
değer:-4.7668 fark:3.9375999999999998
değer:-5.0433 fark:4.2141
değer:-5.3286 fark:4.4994
değer:-5.6232 fark:4.794
değer:-5.9277 fark:5.0985
değer:-6.2427 fark:5.4135
değer:-6.569 fark:5.7398
değer:-6.9072 fark:6.077999999999999
değer:-7.2584 fark:6.4292
değer:-7.6234 fark:6.7942
değer:-8.0035 fark:7.174300000000001
değer:-8.3999 fark:7.5707
değer:-8.8142 fark:7.984999999999999
değer:-9.248 fark:8.4188
değer:-9.7033 fark:8.8741
değer:-10.182 fark:9.3528
değer:-10.688 fark:9.8588
değer:-11.223 fark:10.3938
değer:-11.793 fark:10.963799999999999
değer:-12.4 fark:11.5708
değer:-13.051 fark:12.2218
değer:-13.753 fark:12.9238
değer:-14.516 fark:13.6868
değer:-15.35 fark:14.5208
değer:-16.27 fark:15.4408
değer:-17.298 fark:16.468799999999998
değer:-18.461 fark:17.6318
değer:-19.803 fark:18.9738
değer:-21.388 fark:20.5588
değer:-23.325 fark:22.4958
değer:-25.818 fark:24.9888
değer:-29.317 fark:28.4878
değer:-35.209 fark:34.3798
değer:-49.299 fark:48.4698
değer:-35.209 fark:34.3798
değer:-29.317 fark:28.4878
değer:-25.818 fark:24.9888
değer:-23.325 fark:22.4958
değer:-21.388 fark:20.5588
değer:-19.803 fark:18.9738
değer:-18.461 fark:17.6318
değer:-17.298 fark:16.468799999999998
değer:-16.27 fark:15.4408
değer:-15.35 fark:14.5208
değer:-14.516 fark:13.6868
değer:-13.753 fark:12.9238
değer:-13.051 fark:12.2218
değer:-12.4 fark:11.5708
değer:-11.793 fark:10.963799999999999
değer:-11.223 fark:10.3938
değer:-10.688 fark:9.8588
değer:-10.182 fark:9.3528
değer:-9.7033 fark:8.8741
değer:-9.248 fark:8.4188
değer:-8.8142 fark:7.984999999999999
değer:-8.3999 fark:7.5707
değer:-8.0035 fark:7.174300000000001
değer:-7.6234 fark:6.7942
değer:-7.2584 fark:6.4292
değer:-6.9072 fark:6.077999999999999
değer:-6.569 fark:5.7398
değer:-6.2427 fark:5.4135
değer:-5.9277 fark:5.0985
değer:-5.6232 fark:4.794
değer:-5.3286 fark:4.4994
değer:-5.0433 fark:4.2141
değer:-4.7668 fark:3.9375999999999998
değer:-4.4988 fark:3.6696
değer:-4.2387 fark:3.4094999999999995
değer:-3.9861 fark:3.1569
değer:-3.7409 fark:2.9116999999999997
değer:-3.5026 fark:2.6734
değer:-3.271 fark:2.4417999999999997
değer:-3.0458 fark:2.2165999999999997
değer:-2.8269 fark:1.9977
değer:-2.6139 fark:1.7847
değer:-2.4068 fark:1.5776
değer:-2.2053 fark:1.3760999999999997
değer:-2.0093 fark:1.1801
değer:-1.8187 fark:0.9894999999999998
değer:-1.6333 fark:0.8040999999999998
değer:-1.453 fark:0.6237999999999999
değer:-1.2777 fark:0.4484999999999999
değer:-1.1073 fark:0.2780999999999998
değer:-0.94178 fark:0.11257999999999979
değer:-0.78096 fark:0.04824000000000017
değer:-0.6248 fark:0.20440000000000014
değer:-0.47324 fark:0.35596000000000017
değer:-0.32623 fark:0.5029700000000001
değer:-0.1837 fark:0.6455000000000002
değer:-0.045605 fark:0.7835950000000002
değer:0.088094 fark:0.9172940000000002
değer:0.21744 fark:1.0466400000000002
değer:0.34247 fark:1.1716700000000002
değer:0.46321 fark:1.2924100000000003
değer:0.5797 fark:1.4089
değer:0.69197 fark:1.5211700000000001
değer:0.80002 fark:1.6292200000000001
değer:0.90389 fark:1.7330900000000002
değer:1.0036 fark:1.8328000000000002
değer:1.0992 fark:1.9284000000000001
değer:1.1906 fark:2.0198
değer:1.2779 fark:2.1071
değer:1.3611 fark:2.1903
değer:1.4402 fark:2.2694
değer:1.5152 fark:2.3444000000000003
değer:1.5861 fark:2.4153000000000002
değer:1.6529 fark:2.4821
değer:1.7157 fark:2.5449
değer:1.7744 fark:2.6036
değer:1.829 fark:2.6582
değer:1.8796 fark:2.7088
değer:1.9261 fark:2.7553
değer:1.9686 fark:2.7978
değer:2.007 fark:2.8362000000000003
değer:2.0414 fark:2.8706
değer:2.0717 fark:2.9009
değer:2.098 fark:2.9272
değer:2.1202 fark:2.9494000000000002
değer:2.1384 fark:2.9676
değer:2.1526 fark:2.9818000000000002
değer:2.1627 fark:2.9919000000000002
değer:2.1687 fark:2.9979
değer:2.1708 fark:3.0
